Configuration,Precision,Recall,F1,AUC-ROC,PR-AUC
Full Model,0.4528301886792453,0.6857142857142857,0.5454545454545454,0.9662058371735791,0.6535456476910766
w/o Text features (A),0.463768115942029,0.9142857142857143,0.6153846153846154,0.9666359447004609,0.636094960475613
w/o Behavioral (B),0.660377358490566,1.0,0.7954545454545454,0.9839016897081413,0.6949817907352597
w/o Weak signals (C),0.2916666666666667,0.4,0.3373493975903614,0.6821198156682027,0.24911602679466707
Text only (A),0.14814814814814814,0.11428571428571428,0.12903225806451613,0.5015668202764977,0.11620186632178475
Weak signals only (C),1.0,1.0,1.0,1.0,1.0
